"""","葛城山(mm)","かつらぎ(mm)","友ヶ島(mm)","高野山(mm)","湯浅(mm)","清水(mm)","護摩壇山(mm)","龍神(mm)","川辺(mm)","虎ヶ峯峠(mm)","本宮(mm)","栗栖川(mm)","新宮(mm)","南紀白浜(mm)","白浜(mm)","西川(mm)","色川(mm)","日置川(mm)"
"平成 7年(1995年)","1044.0","1304.0","…","1739.0","1518.0","1861.0","…","2662.0","…","…","2184.0","2070.0","2362.0","…","1505.0","2710.0","3053.0","1624.0"
"平成12年(2000年)","1444.0","1359.0","1138.0","1850.0","1427.0","1818.0","…","2901.0","1616.0","…","2849.0","2404.0","3563.0","…","1514.0","3180.0","3543.0","2122.0"
"平成17年(2005年)","1126.0","1195.0","825.0","1744.0","1154.0","1453.0","…","2155.0","1321.0","…","2069.0","2004.0","2246.0","…","1530.0","2199.0","2564.0","1542.0"
"","","","","","","","","","","","","","","","","","",""
"平成20年(2008年)","1,163]","1279.0","1343.0","1814.0","1406.0","1664.0","912]","2219.0","1686.0","31]","2186.0","2029.0","3328.0","1847.5","1698.0","3103.0","3122.0","2187.0"
"平成21年(2009年)","1472.0","1438.5","1,336]","2062.0","1609.0","1911.5","1,464]","3012.5","1835.5","1,136]","2977.5","2634.0","3757.0","2037.0","2037.0","3791.0","3997.5","2380.5"
"平成22年(2010年)","2007.0","1651.0","1,452]","2202.0","1803.5","2307.0","2,907]","3534.0","1962.5","…","3146.5","3,061]","3974.5","2007.0","…","4107.5","4360.0","2669.5"
"","","","","","","","","","","","","","","","","","",""
"平成23年(2011年)","2,264]","1915.0","1807.0","2829.0","2223.5","2903.0","4184.5","4946.0","2699.0","…","4,282]","4,063]","4054.0","2604.0","…","5371.0","5349.0","3495.5"
"平成24年(2012年)","1,761]","1667.0","1267.0","2067.0","1814.5","2202.5","3072.0","3169.0","2039.5","…","3400.0","2,579]","3483.0","2196.5","…","4316.0","4222.0","2504.0"
"平成25年(2013年)","1694.0","1518.0","1281.0","2146.5","1621.5","1915.0","2893.5","2644.5","1784.5","…","2606.5","2354.5","3143.5","1872.0","…","3071.5","3541.0","2131.0"
"平成26年(2014年)","1597.0","1433.5","1406.0","1872.0","1826.0","2191.0","2,927]","3087.0","2111.0","…","3108.0","2785.0","3685.0","2219.0","…","4176.0","4079.0","3027.0"
"","","","","","","","","","","","","","","","","","",""
"2014年 1月","56.0)","71.0","43.5","90.0","44.0","64.0","122.5","95.5","64.0","…","91.0","110.5","114.5","102.5","…","135.5","122.5","115.0"
"2014年 2月","53.0","56.5","82.5","70.0","73.0","88.0","138.0","123.5","107.0","…","121.0","80.0","172.0","76.5","…","123.5","170.0","96.0"
"2014年 3月","184.5)","196.0","97.0)","208.0","222.0)","245.5","378.5","418.5","204.5","…","235.5","326.0","355.5","135.5","…","485.5","395.5","228.0"
"2014年 4月","90.0","79.0","119.5","99.5","94.5","109.5","171.0","159.0","149.5","…","207.5","153.5","393.5","131.0)","…","273.0","276.5","217.5"
"2014年 5月","92.5","96.5","64.5","105.5","99.0","104.0","171.0","184.0","170.0","…","189.5","263.0","287.5","243.0","…","298.5","264.5","307.5"
"2014年 6月","107.0","62.0","60.5","79.0","82.5","86.5","116.0","103.0","87.0","…","172.5","94.0","370.0","99.0","…","139.5","292.5","110.5"
"2014年 7月","116.5","99.5","82.5","207.5","105.5","219.5","331.5)","347.0","101.5","…","370.5","204.0","193.0","90.0)","…","345.0","310.0","153.5"
"2014年 8月","430.0","415.5","458.5","543.0","633.5)","753.0","898.5","912.0","687.0","…","967.5","822.0","707.0","607.5","…","1181.0","1,009.5)","1006.0"
"2014年 9月","76.0","58.5","81.5","107.5","118.5","121.0","191.0","202.5)","118.5","…","106.0","167.5","236.0","167.5","…","283.5","241.5","117.0"
"2014年10月","175.0)","89.0","170.0","135.5","112.5","122.0","242.0)","239.0","125.5","…","375.0","245.5","524.0","197.5","…","522.0","617.5","301.5"
"2014年11月","90.5","110.0","46.0","91.0","118.5","142.5","167.0","171.0","172.0","…","161.5","215.5","171.0","246.0","…","214.0","210.0","222.5)"
"2014年12月","126.0","100.0","99.5","135.0","122.0","135.5)","88.5]","132.0","124.0","…","110.5","103.0","161.0","123.0","…","174.5","168.5","152.0"
